Report Year,"State, USA",Population,Violent Crimes,Homicides,Rapes,Assaults,Robberies,Months Reported,Crimes Per Person,Homocides Per Persion,Rapes Per Person,Assaults Per Person,Robberies Per Person,Column1,Column2
1996,"Oklahoma City, OK",469632,5308,67,477,3286,1478,12,1130,14,102,700,315,,
1996,"Omaha, NE",350607,4742,27,207,3726,782,12,1353,8,59,1063,223,,
1996,"Orlando, FL",182616,4002,13,165,2744,1080,12,2191,7,90,1503,591,,
1996,"Philadelphia, PA",1528403,20190,420,644,5938,13188,12,1321,27,42,389,863,,
1996,"Phoenix, AZ",1139793,10529,186,460,6126,3757,12,924,16,40,537,330,,
1996,"Pittsburgh, PA",354308,2850,47,206,1032,1565,12,804,13,58,291,442,,
1996,"Portland, OR",467906,7835,51,402,5325,2057,12,1674,11,86,1138,440,,
1996,"Prince George's County, MD",644346,7307,132,296,3413,3466,12,1134,20,46,530,538,,
1996,"Raleigh, NC",245176,2109,25,90,1262,732,12,860,10,37,515,299,,
1996,"Sacramento, CA",379283,3707,43,154,1636,1874,12,977,11,41,431,494,,
1996,"Salt Lake City, UT",180180,1501,20,152,738,591,12,833,11,84,410,328,,
1996,"San Antonio, TX",1021477,4741,117,637,1637,2350,12,464,11,62,160,230,,
1996,"San Diego, CA",1168364,10148,79,368,6703,2998,12,869,7,32,574,257,,
1996,"San Francisco, CA",745127,9886,82,298,3967,5539,12,1327,11,40,532,743,,
1996,"San Jose, CA",830374,6075,40,341,4596,1098,12,732,5,41,553,132,,
1996,"Seattle, WA",539591,4543,37,261,2282,1963,12,842,7,48,423,364,,
1996,"St. Louis, MO",374041,10203,166,269,5682,4086,12,2728,44,72,1519,1092,,
1996,"Suffolk County, NY",1218234,2068,39,38,1045,946,12,170,3,3,86,78,,
1996,"Tampa, FL",294670,8689,43,264,5711,2671,12,2949,15,90,1938,906,,
1996,"Tucson, AZ",472385,5199,46,282,3583,1288,12,1101,10,60,758,273,,
1996,"Tulsa, OK",379798,4428,31,304,3225,868,12,1166,8,80,849,229,,
1996,"Virginia Beach, VA",439851,1075,20,127,473,455,12,244,5,29,108,103,,
1996,"Washington, DC",543000,13411,397,260,6310,6444,12,2470,73,48,1162,1187,,
1996,"Wichita, KS",312706,2372,24,227,1298,823,12,759,8,73,415,263,,
1997,"Albuquerque, NM",431027,5677,49,270,3629,1729,12,1317,11,63,842,401,,
1997,"Arlington, TX",303487,2420,12,127,1754,527,12,797,4,42,578,174,,
1997,"Atlanta, GA",420865,12830,150,366,7563,4751,12,3048,36,87,1797,1129,,
